run,t,streamName,srcMACdec,dstMACdec,pcp,vid,lenB,qLenBits,gateState,meter_conform,meter_exceed,meter_filtered
Baseline-#9,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,1,0,0
Baseline-#9,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
Baseline-#9,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
Baseline-#9,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
Baseline-#9,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
Baseline-#9,0.000014290,display_data,11725260718090,11725260718088,3,20,170,0,0,1,0,0
Baseline-#9,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
Baseline-#9,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
Baseline-#9,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
Baseline-#9,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
Baseline-#9,0.000018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,1,0,0
Baseline-#9,0.000018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
Baseline-#9,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
Baseline-#9,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
Baseline-#9,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
Baseline-#9,0.000500000,0A-AA-00-00-00-09->0A-AA-00-00-00-0A,11725260718089,11725260718090,0,0,196,0,1,1,0,0
Baseline-#9,0.001000005,0A-AA-00-00-00-02->01-80-C2-00-00-0E,11725260718082,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001008690,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001009426,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001014450,0A-AA-00-00-00-05->01-80-C2-00-00-0E,11725260718085,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001014465,0A-AA-00-00-00-07->01-80-C2-00-00-0E,11725260718087,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001014470,0A-AA-00-00-00-06->01-80-C2-00-00-0E,11725260718086,1652522221582,0,0,72,0,1,0,0,0
Baseline-#9,0.001014950,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,64,0,1,0,0,0
Baseline-#9,0.001014950,0A-AA-00-00-00-04->01-80-C2-00-00-0E,11725260718084,1652522221582,0,0,64,0,1,0,0,0
Baseline-#9,0.001015622,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,94,0,1,0,0,0
Baseline-#9,0.001018690,critical_control,11725260718089,11725260718088,7,10,225,0,1,1,0,0
Baseline-#9,0.001018690,critical_control,11725260718089,11725260718088,7,10,225,0,1,0,0,0
Baseline-#9,0.001021810,critical_control,11725260718089,11725260718088,7,10,225,1088,1,0,0,0
Baseline-#9,0.001021825,critical_control,11725260718089,11725260718088,7,10,225,1088,1,0,0,0
Baseline-#9,0.001021830,critical_control,11725260718089,11725260718088,7,10,225,1088,1,0,0,0
Baseline-#9,0.001500000,0A-AA-00-00-00-04->01-80-C2-00-00-0E,11725260718084,1652522221582,0,0,94,576,1,0,0,0
Baseline-#9,0.001500000,0A-AA-00-00-00-05->01-80-C2-00-00-0E,11725260718085,1652522221582,0,0,64,576,1,0,0,0
Baseline-#9,0.001500000,0A-AA-00-00-00-06->01-80-C2-00-00-0E,11725260718086,1652522221582,0,0,64,576,1,0,0,0
Baseline-#9,0.001500000,0A-AA-00-00-00-07->01-80-C2-00-00-0E,11725260718087,1652522221582,0,0,64,576,1,0,0,0
Baseline-#9,0.001506720,0A-AA-00-00-00-05->01-80-C2-00-00-0E,11725260718085,1652522221582,0,0,72,752,1,0,0,0
Baseline-#9,0.001506720,0A-AA-00-00-00-06->01-80-C2-00-00-0E,11725260718086,1652522221582,0,0,72,752,1,0,0,0
Baseline-#9,0.001506720,0A-AA-00-00-00-07->01-80-C2-00-00-0E,11725260718087,1652522221582,0,0,72,752,1,0,0,0
Baseline-#9,0.001509120,0A-AA-00-00-00-04->01-80-C2-00-00-0E,11725260718084,1652522221582,0,0,72,0,1,0,0,0
